CrmId,Account,Subscription,SubscriptionStartDate,SubscriptionEndDate,ExtendedSubscriptionEndDate,SKU,Product,RatePlan,LocationID,MarketCode,CategoryCode
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | CA-Orange County | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,42,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | MI-Detroit | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,44,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,45,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | CA-San Diego | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,50,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | FL-Central | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,53,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | OH-Columbus | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,54,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | MA-Boston | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,61,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | FL-South | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,65,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | NJ-North/Central | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,73,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | NY-Hudson Valley | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,74,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | CA-Los Angeles | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,84,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | NY-Manhattan | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,91,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | NC-North Carolina | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,107,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | FL-Northern | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,109,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | NV-Las Vegas/Southern NV | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,119,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | OR-Oregon | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,176,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | AZ-Phoenix | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,177,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | IL-Chicago Suburbs | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,179,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | TX-San Antonio | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,180,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | NY-Long Island | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,182,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | TX-Houston | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,183,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | MI-Lansing/Tri-Cities | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,187,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | SC-South Carolina | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,188,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | NY-Wstrn/Cent/Upstate | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,189,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | TN-Tennessee | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,190,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | TX-Austin | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,191,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | VA-Virginia | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,192,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | IN-Indiana | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,198,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | ME-Maine | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,212,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | UT-Utah | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,214,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | GA-Savannah/Coastal Area | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,269,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | IL-Central Illinois | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,270,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | CA-Sacramento/Tahoe/Reno | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,271,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238442,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | CA-Santa Barbara/Ventura | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,272,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238443,7/1/2019,1/1/2020,6/29/2020,SKU-00000034,Featured Vendor,Featured Vendor | NY-Outer Boroughs | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,291,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | MN-Minnesota | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,4,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238441,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | MO-Kansas City | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,5,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | TX-Dallas | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,6,BWP
0e419f4a-69c4-e511-b212-005056881833,Generation Tux - NATIONAL,A-S00238440,7/1/2019,1/1/2020,6/29/2020,SKU-00000092,Storefront,Storefront | WA-Washington | Bridal Salons,200DBB87-A818-47B8-8DBB-87D3732D2F57,10,BWP
