Subscription,SubscriptionEndDate,SKU,Product,RatePlan,ChargeNumber,LocationID,MarketCode,CategoryCode
A-S00208349,2020-12-19,SKU-00000092,Storefront,Storefront | KY-Kentucky | Wedding Photographers,C-01529970,DC538924-E6F7-E311-B6B3-005056881833,040,WPH
A-S00208352,2020-12-19,SKU-00000092,Storefront,Storefront | VA-Virginia | Rentals,C-01529974,71B98F11-272B-4F66-94ED-F465390AC7AB,192,RNT
A-S00208369,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | NY-Wstrn/Cent/Upstate | Wedding Photographers,C-01530024,74A95F62-7750-4F6C-BC07-BCE86540DD2C,189,WPH
A-S00208369,2020-12-19,SKU-00000092,Storefront,Storefront | NY-Wstrn/Cent/Upstate | Wedding Photographers,C-01530023,74A95F62-7750-4F6C-BC07-BCE86540DD2C,189,WPH
A-S00208374,2020-12-21,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | MO-St. Louis | Wedding Cakes,C-01530033,1448B707-AD08-E211-B567-78E3B5102EA7,041,WCK
A-S00208374,2020-12-21,SKU-00000092,Storefront,Storefront | MO-St. Louis | Wedding Cakes,C-01530032,1448B707-AD08-E211-B567-78E3B5102EA7,041,WCK
A-S00208378,2020-12-19,SKU-00000092,Storefront,Storefront | FL-West Coast | Florists,C-01530042,6F20D2CB-2CF5-4831-8CC9-C7569AB67A94,033,FLO
A-S00208383,2020-12-06,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | MO-St. Louis | Transportation,C-01530058,BC746386-BE90-48DC-8C2D-51A1CB29E6E8,041,TRA
A-S00208383,2020-12-06,SKU-00000092,Storefront,Storefront | MO-St. Louis | Transportation,C-01530057,BC746386-BE90-48DC-8C2D-51A1CB29E6E8,041,TRA
A-S00208400,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | OK-Oklahoma | Caterers,C-01530132,BB19BB4D-9A1C-4E48-AF8C-E5B8942CEF8F,193,CAT
A-S00208400,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | OK-Oklahoma | Reception Venues,C-01530130,BB19BB4D-9A1C-4E48-AF8C-E5B8942CEF8F,193,REC
A-S00208400,2020-12-19,SKU-00000092,Storefront,Storefront | OK-Oklahoma | Caterers,C-01530131,BB19BB4D-9A1C-4E48-AF8C-E5B8942CEF8F,193,CAT
A-S00208400,2020-12-19,SKU-00000092,Storefront,Storefront | OK-Oklahoma | Reception Venues,C-01530129,BB19BB4D-9A1C-4E48-AF8C-E5B8942CEF8F,193,REC
A-S00208407,2020-12-18,SKU-00000092,Storefront,Storefront | LA-New Orleans | Bar Services,C-01549265,6DB5D13C-0AC6-4E1B-B3FC-A65C3C4E69C2,029,BAR
A-S00208422,2020-12-15,SKU-00000092,Storefront,Storefront | NJ-North/Central | Reception Venues,C-01530451,66B1F07A-8774-481D-9EFF-31B4FD755D69,073,REC
A-S00208424,2020-12-21,SKU-00000034,Featured Vendor,Featured Vendor | CA-San Fran/Bay Area | Bridal Salons,C-01530509,85220D42-0E34-4358-8DE4-A4B6F307D634,012,BWP
A-S00208424,2020-12-21,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | CA-Sacramento/Tahoe/Reno | Bridal Salons,C-01530512,85220D42-0E34-4358-8DE4-A4B6F307D634,271,BWP
A-S00208424,2020-12-21,SKU-00000092,Storefront,Storefront | CA-Sacramento/Tahoe/Reno | Bridal Salons,C-01530511,85220D42-0E34-4358-8DE4-A4B6F307D634,271,BWP
A-S00208424,2020-12-21,SKU-00000092,Storefront,Storefront | CA-San Fran/Bay Area | Bridal Salons,C-01530508,85220D42-0E34-4358-8DE4-A4B6F307D634,012,BWP
A-S00208439,2020-12-19,SKU-00000092,Storefront,Storefront | AZ-Tucson | Officiants+Premarital Counseling,C-01530643,D46D754F-EAC5-469E-837E-4B6BE2C3BC9C,025,OPC
A-S00208444,2020-12-19,SKU-00000034,Featured Vendor,Featured Vendor | MI-Lansing/Tri-Cities | Travel Specialists,C-01530704,A8428C5B-B7C4-45F9-BBF3-CEB69751A177,187,TRV
A-S00208444,2020-12-19,SKU-00000092,Storefront,Storefront | MI-Lansing/Tri-Cities | Travel Specialists,C-01530703,A8428C5B-B7C4-45F9-BBF3-CEB69751A177,187,TRV
A-S00208466,2020-12-19,SKU-00000092,Storefront,Storefront | CA-Central CA | Florists,C-01530780,D4D04B68-579A-4474-8C5F-6ED94A1A1C6E,027,FLO
A-S00208486,2020-12-20,SKU-00000092,Storefront,Storefront | PA-Pittsburgh | Beauty,C-01530827,E3709A83-BF26-E311-B847-0050568849EA,117,BEA
A-S00208503,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | DC-DC/MD/Northern VA | Favors+Gifts,C-01530861,6F2A5F71-9344-4D59-A1A8-DBDD717C0527,017,FAV
A-S00208503,2020-12-20,SKU-00000092,Storefront,Storefront | DC-DC/MD/Northern VA | Favors+Gifts,C-01530860,6F2A5F71-9344-4D59-A1A8-DBDD717C0527,017,FAV
A-S00208511,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | MN-Minnesota | Wedding Cakes,C-01530892,BB05E604-0FF6-4EB7-A545-F47067236A85,004,WCK
A-S00208511,2020-12-20,SKU-00000092,Storefront,Storefront | MN-Minnesota | Wedding Cakes,C-01530891,BB05E604-0FF6-4EB7-A545-F47067236A85,004,WCK
A-S00208512,2020-12-20,SKU-00000092,Storefront,Storefront | SD-South Dakota | Wedding Planners,C-01530893,7B08EF12-3E6E-48FF-BA2E-49A0415E2A89,233,PLN
A-S00208532,2020-12-19,SKU-00000092,Storefront,Storefront | NY-Wstrn/Cent/Upstate | Reception Venues,C-01530936,8CEA29BD-02D5-45E8-855D-F4AD273CB173,189,REC
A-S00208533,2020-12-15,SKU-00000092,Storefront,Storefront | PA-Pittsburgh | Beauty,C-01530937,BB669C79-957B-4DBA-BCAE-1CF3B857099D,117,BEA
A-S00208535,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | CA-Santa Barbara/Ventura | Reception Venues,C-01530940,97822A6D-E15C-4180-B92E-0E94207665E9,272,REC
A-S00208535,2020-12-20,SKU-00000092,Storefront,Storefront | CA-Santa Barbara/Ventura | Reception Venues,C-01530939,97822A6D-E15C-4180-B92E-0E94207665E9,272,REC
A-S00208538,2020-12-20,SKU-00000092,Storefront,Storefront | MO-St. Louis | Reception Venues,C-01530943,F65EA062-9682-4395-A914-4C72FF562C8F,041,REC
A-S00208538,2020-12-20,SKU-00000092,Storefront,Storefront | MO-St. Louis | Shower+Party Venues,C-01530944,F65EA062-9682-4395-A914-4C72FF562C8F,041,SPV
A-S00208540,2020-12-20,SKU-00000092,Storefront,Storefront | CA-San Fran/Bay Area | Officiants+Premarital Counseling,C-01530949,A9C5532E-4E01-4FD4-95DE-DA9B8891A27A,012,OPC
A-S00208541,2020-12-20,SKU-00000092,Storefront,Storefront | OH-Cincinnati | Wedding Planners,C-01530950,BB761028-FA0F-41F0-A370-6C332DD661D0,035,PLN
A-S00208542,2020-12-13,SKU-00000034,Featured Vendor,Featured Vendor | AZ-Phoenix | Reception Venues,C-01530952,1DDC8B29-C0DC-E111-8CC6-78E3B5102E43,177,REC
A-S00208542,2020-12-13,SKU-00000092,Storefront,Storefront | AZ-Phoenix | Reception Venues,C-01530951,1DDC8B29-C0DC-E111-8CC6-78E3B5102E43,177,REC
A-S00208543,2020-12-20,SKU-00000092,Storefront,Storefront | TX-Dallas | Florists,C-01530953,F1B24F80-94BB-42E3-AA5A-F2C311E6DE75,006,FLO
A-S00208558,2020-12-20,SKU-00000092,Storefront,Storefront | GA-Savannah/Coastal Area | Wedding Cakes,C-01531002,8C21227B-42CD-41D5-A888-24B96E505F49,269,WCK
A-S00208579,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | PA-Philadelphia | Ensembles+Soloists,C-01531060,1A093EAB-A46B-4E87-BD98-0CE2FB1305FE,021,ENS
A-S00208579,2020-12-20,SKU-00000092,Storefront,Storefront | PA-Philadelphia | Ensembles+Soloists,C-01531059,1A093EAB-A46B-4E87-BD98-0CE2FB1305FE,021,ENS
A-S00208580,2020-12-20,SKU-00000092,Storefront,Storefront | CA-Los Angeles | Decor,C-01531061,6B3CB29C-E9CB-4D23-8558-B6671B297857,084,DEC
A-S00208589,2020-12-20,SKU-00000088,Premium Featured Vendor,Premium Featured Vendor | TX-Austin | Ensembles+Soloists,C-01531083,A50CF256-E4D9-4955-A02F-A7A9E092AA1E,191,ENS
A-S00208589,2020-12-20,SKU-00000092,Storefront,Storefront | TX-Austin | Ensembles+Soloists,C-01531082,A50CF256-E4D9-4955-A02F-A7A9E092AA1E,191,ENS
A-S00208597,2020-12-20,SKU-00000092,Storefront,Storefront | WA-Washington | Reception Venues,C-01531099,A8FE6838-0C13-4739-8AA8-B4D00B8C6C6A,010,REC
A-S00208600,2020-12-20,SKU-00000034,Featured Vendor,Featured Vendor | NJ-South | Wedding Cakes,C-01531103,E9449A07-9827-4899-A6FC-39AE807E9301,209,WCK
