LocationId,CategoryCode,MarketCode,SKU,newMarketCode,StorefrontId
018027a5-67cf-4b16-80b5-73bf49259e9e,PLN,107,SKU-00000034,336,8f6e5e13-88e6-4dcb-bca1-56ee1f80a5bb
018027a5-67cf-4b16-80b5-73bf49259e9e,PLN,107,SKU-00000034,337,8f6e5e13-88e6-4dcb-bca1-56ee1f80a5bb
018027a5-67cf-4b16-80b5-73bf49259e9e,PLN,107,SKU-00000034,335,8f6e5e13-88e6-4dcb-bca1-56ee1f80a5bb
00495068-3e70-4ea4-95d8-6a23ea85a500,REC,003,SKU-00000034,328,514966ac-f5c0-4d1b-ab0c-a79a008b1519
00e86add-da87-49b3-b93e-630f0082f334,BEA,073,SKU-00000034,339,42bde61b-24f5-42be-b7d8-085ef21dd587
00e86add-da87-49b3-b93e-630f0082f334,BEA,073,SKU-00000034,338,42bde61b-24f5-42be-b7d8-085ef21dd587
013e23e8-6371-e311-836d-005056881833,WPH,061,SKU-00000092,333,61256d33-c3db-4b40-8b04-9849665ad333
0062740e-c579-4077-b779-26cc6ff92bcb,RNT,107,SKU-00000092,337,dc2d059d-7c9d-48cf-8934-a6da0083c643
0062740e-c579-4077-b779-26cc6ff92bcb,RNT,107,SKU-00000092,335,dc2d059d-7c9d-48cf-8934-a6da0083c643
0062740e-c579-4077-b779-26cc6ff92bcb,RNT,107,SKU-00000092,336,dc2d059d-7c9d-48cf-8934-a6da0083c643
024dc1b0-2f07-4733-be93-9cfc3a5337fb,PLN,107,SKU-00000034,337,33200cdd-295a-4ea7-a733-a6eb00e093e6
024dc1b0-2f07-4733-be93-9cfc3a5337fb,PLN,107,SKU-00000034,336,33200cdd-295a-4ea7-a733-a6eb00e093e6
024dc1b0-2f07-4733-be93-9cfc3a5337fb,PLN,107,SKU-00000034,335,33200cdd-295a-4ea7-a733-a6eb00e093e6
02bfd325-15db-e111-8bec-78e3b50834e7,REC,073,SKU-00000034,339,f8cccb83-b67d-4e78-865a-334a7978da33
02bfd325-15db-e111-8bec-78e3b50834e7,REC,073,SKU-00000034,338,f8cccb83-b67d-4e78-865a-334a7978da33
03e4b685-100e-4115-bf78-102b1ee02934,REC,040,SKU-00000088,332,c4241d33-5a41-4a5b-a8ef-a3ff00ef7a60
02412b2e-2b5f-4763-832a-f095edac2a2f,VID,107,SKU-00000092,335,66d428a0-bbf2-4503-a32f-a8180128cfc4
02412b2e-2b5f-4763-832a-f095edac2a2f,VID,107,SKU-00000092,336,66d428a0-bbf2-4503-a32f-a8180128cfc4
02412b2e-2b5f-4763-832a-f095edac2a2f,VID,107,SKU-00000092,337,66d428a0-bbf2-4503-a32f-a8180128cfc4
03a0b0c9-9bcc-4244-83c2-e71823aa0a0b,PHB,176,SKU-00000092,344,e28d8692-4916-4c77-9059-a5e000b5e264
050889eb-e692-e511-9e20-0050568849ea,TRV,021,SKU-00000092,322,a863da9a-ebf0-4fa9-87cb-a55a012096c0
054f5bb1-ea72-41cf-8298-924e2b638522,WPH,005,SKU-00000034,330,bb04ac18-08cf-4337-95e0-a5c60104d72a
054f5bb1-ea72-41cf-8298-924e2b638522,WPH,005,SKU-00000034,331,bb04ac18-08cf-4337-95e0-a5c60104d72a
0495be30-187f-e511-b212-005056881833,TRV,019,SKU-00000034,327,900ed5ca-d47f-46ed-a62e-a3d3008a2829
05d76ce9-04da-4caa-9b10-9c2fe576638e,WPH,175,SKU-00000092,353,11755b96-4705-48ee-964a-51911e3ac1ce
05e29dee-e963-489b-b330-ee88412a4031,WPH,203,SKU-00000034,325,ee802aa8-eec2-4ade-aba2-a3ea0094bb46
05e29dee-e963-489b-b330-ee88412a4031,WPH,203,SKU-00000034,317,ee802aa8-eec2-4ade-aba2-a3ea0094bb46
06652a3d-9679-e411-8c67-0050568849ea,REC,012,SKU-00000086,271,06f2dd76-6b75-4f0b-a3b7-a3f401000e8d
06652a3d-9679-e411-8c67-0050568849ea,REC,012,SKU-00000086,320,06f2dd76-6b75-4f0b-a3b7-a3f401000e8d
06652a3d-9679-e411-8c67-0050568849ea,REC,012,SKU-00000086,321,06f2dd76-6b75-4f0b-a3b7-a3f401000e8d
069252d8-4292-e511-b212-005056881833,FLO,269,SKU-00000034,109,f4d744b6-0732-489e-a3c5-a55901394be3
05d09717-5f3d-e211-810d-0050568849ea,RNT,189,SKU-00000092,341,58520b2c-bd3a-4ff5-8801-65b85527153c
05d09717-5f3d-e211-810d-0050568849ea,RNT,189,SKU-00000092,342,58520b2c-bd3a-4ff5-8801-65b85527153c
05d09717-5f3d-e211-810d-0050568849ea,RNT,189,SKU-00000092,234,58520b2c-bd3a-4ff5-8801-65b85527153c
0823d033-3f5a-4d61-9ca7-eb1aa91ef7e4,CAT,021,SKU-00000034,322,47b7e2dc-b4da-44bb-b6f9-a7a000a33620
0826547b-89c3-4562-9fb3-84990748598a,REC,031,SKU-00000034,274,642bd31d-341e-4212-b788-a3e7008c7d3a
07848b10-1c72-4a0a-875a-a56fe2bc3c71,ENS,271,SKU-00000092,340,008f785a-5f08-4a81-b20b-eb9cdd6f74ff
08d99631-6e4c-4d1c-8c5b-4a1ef90e3941,WPH,187,SKU-00000034,186,7a2e3426-ed51-4a35-926c-a65500ee1b80
08d99631-6e4c-4d1c-8c5b-4a1ef90e3941,WPH,187,SKU-00000034,044,7a2e3426-ed51-4a35-926c-a65500ee1b80
09296d15-56dc-e111-8bec-78e3b50834e7,REC,176,SKU-00000092,344,563d460c-a986-4d92-95a8-2d1335da2d98
095e8e47-6fe9-47d1-965b-dc9a2de5594a,WPH,042,SKU-00000086,319,171682e0-905d-46ef-8201-a83200ed8dcf
