Account Owner,WW Vendor Id,Account Name,TKWW Paid Classification,TK Listing Visibility,WW Listing Visibility,Closest Product End Date,URL,LocationID,TK Company ID,AccountID
Allison Starks,73485,Colony Club Detroit,2,Paid,Paid,3/10/2020,https://my.matterport.com/show/?m=bpccGZejryx&brand=0,234b1b17-7b71-42a6-b3a0-aedd0a9e60e0,fe839ce7-afda-e111-8bec-78e3b50834e7,aab71123-6757-404c-8798-472e403275b1
Heather Dorsten,430779,Rand-Bryan House,2,Paid,Paid,3/10/2020,https://my.matterport.com/show/?m=XR8BqHgs5GW&brand=0,8b007d9d-53d7-4cf3-b715-55c69852e2d2,8b007d9d-53d7-4cf3-b715-55c69852e2d2,1838d1a4-69fe-4d8f-8a27-a392015503b0
Cecelia Wicklin,56365,European Crystal Banquet and Conference Center,2,Paid,Paid,3/11/2020,https://my.matterport.com/show/?m=QY3UCYeDG77&brand=0,8dec7f99-24dc-e111-8cc6-78e3b5102e43,8dec7f99-24dc-e111-8cc6-78e3b5102e43,49cf22df-e2c6-46b6-ab1b-9ad79f81a825
Melina Klinger Walzer,694186,World Golf Hall of Fame & Museum,2,Paid,Paid,3/12/2020,https://my.matterport.com/show/?m=7DUHuKdpakj&brand=0,786a6062-e995-e411-9075-005056881833,786a6062-e995-e411-9075-005056881833,67f91df7-27f0-41fa-9196-a3480111dea8
Laura Napolitano,616299,Cedar Lake Cellars,2,Paid,Paid,3/13/2020,https://my.matterport.com/show/?m=v5krwGj7yyQ&brand=0,f950bd26-d694-e311-9c4e-0050568849ea,f950bd26-d694-e311-9c4e-0050568849ea,0e738c36-45b4-4164-91aa-71a588b6b639
Dina Sanchez,1013098,Balmoral Crystal Clear Lagoon,2,Paid,Paid,3/14/2020,https://my.matterport.com/show/?m=yxCuy3vTkYd&brand=0,3e24d940-f39f-4e57-b54c-0b4c12ba2d64,3e24d940-f39f-4e57-b54c-0b4c12ba2d64,c0b51cf8-afe1-4268-8446-e11a007fe3cc
Silver Varela,124453,Renditions Golf Course,2,Paid,Paid,3/14/2020,https://my.matterport.com/show/?m=9WLAkX2vUqG&brand=0,5d96e04e-edda-e111-8bec-78e3b50834e7,5d96e04e-edda-e111-8bec-78e3b50834e7,bdb15371-e502-44d5-9026-23de6450f4d6
Katrina Hayes,545200,CityFlats Hotel,2,Paid,Paid,3/14/2020,https://my.matterport.com/show/?m=QZDb5GsCUQe&brand=0,856f1e68-b922-e211-8c35-78e3b5102ea7,856f1e68-b922-e211-8c35-78e3b5102ea7,93574dba-58e6-4f1b-a11b-72a6d0f13a08
Hillary Boyd,157583,Whispering Oaks Terrace,2,Paid,Paid,3/14/2020,https://my.matterport.com/show/?m=9sfEdfMrDLw&brand=0,be03eafd-ac12-4338-81ac-9a88b759d27b,be03eafd-ac12-4338-81ac-9a88b759d27b,b4d6fe8a-f0a0-4e57-923a-a6be00ca8301
Lisa Hamilton,364185,NOOR,2,Paid,Paid,3/15/2020,https://my.matterport.com/show/?m=gqbVL7uu2aU&brand=0,63d7a144-f0db-e111-8bec-78e3b50834e7,63d7a144-f0db-e111-8bec-78e3b50834e7,769b2aa4-f1eb-4a4c-8584-1c707d4f4758
